ASSESSMENT,,,,,,,LOGIN,,,REGISTER,,,,
"NOTES: Any = do not choose ""Less than 48 hours ago""",,,,,,,,,,,,,,
REHAB GOAL,MUSCLE,PAIN LEVEL,PAIN DURATION,INJURY HISTORY,PLAN,,E-mail Address,Password,,First Name,Last Name,E-mail Address,Password,Confirm Password
Alleviate Pain,Deltoids,1 to 3,Any,None,"Exercises, Treatment",,Registered e-mail,Any incorrect password,,Any,Any,Unregistered e-mail,Missing lowercase,Any
Improve Mobility,Deltoids,4 to 6,Any,None,"Exercises, Treatment",,Not registered e-mail,Any,,Any,Any,Unregistered e-mail,Missing uppercase,Any
Strengthen Muscle,Deltoids,7 to 10,Any,None,Treatment Only,,Registered e-mail,Correct password,,Any,Any,Unregistered e-mail,Missing symbol,Any
Alleviate Pain,Deltoids,7 to 10,Any,Triceps,"Exercises, Treatment",,,,,Any,Any,Unregistered e-mail,Missing number,Any
,,,,,,,,,,Any,Any,Registered e-mail,Any,Any
Alleviate Pain,Biceps,1 to 3,Any,None,"Exercises, Treatment",,,,,Any,Any,Unregistered e-mail,Complete password,Different value as Password
Improve Mobility,Biceps,4 to 6,Any,None,"Exercises, Treatment",,,,,Any,Any,Unregistered e-mail,Complete password,Same value as Password
Strengthen Muscle,Biceps,7 to 10,Any,None,Treatment Only,,,,,,,,,
Improve Mobility,Biceps,7 to 10,Any,Triceps,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Triceps,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Triceps,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Triceps,7 to 10,Any,None,Treatment Only,,,,,,,,,
Strengthen Muscle,Triceps,7 to 10,Any,Deltoids,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Quadriceps,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Quadriceps,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Quadriceps,7 to 10,Any,None,Treatment Only,,,,,,,,,
Alleviate Pain,Quadriceps,7 to 10,Any,Hamstrings,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Hamstrings,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Hamstrings,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Hamstrings,7 to 10,Any,None,Treatment Only,,,,,,,,,
Improve Mobility,Hamstrings,7 to 10,Any,Gluteals,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Calf,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Calf,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Calf,7 to 10,Any,None,Treatment Only,,,,,,,,,
Strengthen Muscle,Calf,7 to 10,Any,Hamstrings,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Gluteals,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Gluteals,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Gluteals,7 to 10,Any,None,Treatment Only,,,,,,,,,
Alleviate Pain,Gluteals,7 to 10,Any,Lower Back,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Abdominals,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Abdominals,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Abdominals,7 to 10,Any,None,Treatment Only,,,,,,,,,
Improve Mobility,Abdominals,7 to 10,Any,Lower Back,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Obliques,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Obliques,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Obliques,7 to 10,Any,None,Treatment Only,,,,,,,,,
Strengthen Muscle,Obliques,7 to 10,Any,Abdominals,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Lower Back,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Lower Back,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Lower Back,7 to 10,Any,None,Treatment Only,,,,,,,,,
Alleviate Pain,Lower Back,7 to 10,Any,Abdominals,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Alleviate Pain,Multifidus,1 to 3,Any,None,"Exercises, Treatment",,,,,,,,,
Improve Mobility,Multifidus,4 to 6,Any,None,"Exercises, Treatment",,,,,,,,,
Strengthen Muscle,Multifidus,7 to 10,Any,None,Treatment Only,,,,,,,,,
Improve Mobility,Multifidus,7 to 10,Any,Abdominals,"Exercises, Treatment",,,,,,,,,
,,,,,,,,,,,,,,
Strengthen Muscle,Deltoids,1 to 3,Less than 48 hours ago,None,Treatment Only,,,,,,,,,
