Exercise_ID,Exercise,Exercise_Description,Muscle_Involved,Pain_Level,Functional_Goal,Repetition,Set,Image_Link,Video_Link
E001,Shoulder Blade Squeezes,"Sit or stand, squeeze shoulder blades together gently to engage deltoids",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E002,Arm Circles,Perform small arm circles to increase mobility and activate deltoids,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E003,Front Arm Raises (No Weight),"Stand with arms at sides, raise arms straight in front to shoulder height",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E004,Lateral Arm Raises (No Weight),Raise arms out to the side to shoulder height for gentle deltoid activation,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E005,Wall Slides,"Stand with back against wall, slide arms up and down the wall while keeping shoulders relaxed",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E006,External Rotation with Resistance Band (Light),"Attach band to a fixed point, gently rotate forearm outward to engage deltoids",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E007,Dumbbell Front Raise (Light Weight),"Hold light weights, lift arms to shoulder height in front",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E008,Dumbbell Lateral Raise (Light Weight),"Hold light weights, raise arms to the side to shoulder height with controlled movement",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E009,None,,Deltoids,Severe,Alleviate Pain,10,3,exercise.jpg,
E010,Isometric Biceps Hold,"Bend elbows to 90 degrees, press hands against each other or a soft object to engage biceps without movement",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E011,Forearm Supination/Pronation,"Hold a light weight or resistance band, rotate forearm to engage biceps gently",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E012,Bicep Curls (No Weight or Light Weight),Hold hands at sides and bend elbows to bring hands toward shoulders,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E013,Hammer Curls (No Weight or Light Weight),Curl with palms facing inward to target different parts of the biceps,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E014,Resistance Band Curls,"Attach band to a fixed point, hold band in hand and curl arm up to engage biceps",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E015,Slow Supination Curls,"Hold a light weight or band with palm facing down, rotate wrist up as you curl to activate biceps fully",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E016,Dumbbell Curls (Light Weight),"Hold light weights, curl hands toward shoulders while keeping elbows stable",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E017,Concentration Curl (Light Weight),"Sit with elbow on thigh, slowly curl weight up to isolate the biceps",Biceps,Moderate,Alleviate Pain,10,3,exercise.jpg,
E018,None,,Biceps,Severe,Alleviate Pain,10,3,exercise.jpg,
E019,Wall Chest Stretch,"Stand facing a wall, place forearm against it, and gently turn away to stretch pectoral muscles",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E020,Seated Arm Circles,"Sit comfortably, perform slow circles with arms extended to warm up the chest area",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E021,Open-Book Stretch,"Lie on your side with arms stacked, slowly open the top arm outward and across the body",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E022,Incline Chest Squeeze (No Weight),"Sit on a chair, clasp hands in front of chest, and squeeze gently without any added resistance",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E023,Wall Push-ups,"Stand at arm’s length from a wall, perform push-ups with slow controlled movements, ",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E024,Chest Fly (No Weight),"Lie on your back with arms extended to sides, bring arms together in a gentle squeezing motion",Chest,Low,Alleviate Pain,10,3,exercise.jpg,
E025,Doorway Chest Stretch,"Stand in a doorway, place arms on each side, and gently lean forward to stretch the chest",Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E026,Cat-Cow Chest Expansion,"On hands and knees, perform gentle chest-opening movements",Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E027,Bent Arm Wall Stretch,"Bend arm at elbow, place it against a wall, and turn body gently to stretch the pectoral muscles",Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E028,Modified Wall Push-Up,Stand close to a wall and perform push-ups with minimal body weight,Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E029,Resistance Band Chest Squeeze (Low Resistance),"Hold a resistance band, gently pull to activate the chest without overexertion",Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E030,Floor Chest Press (No Weight),"Lie on your back, press hands upwards, mimicking chest press without any weights",Chest,Moderate,Alleviate Pain,10,3,exercise.jpg,
E031,None,,Chest,Severe,Alleviate Pain,10,3,exercise.jpg,
E032,Neck Tilt Stretch,"Tilt head to one side, gently pull with the opposite hand to stretch the side of the neck",Neck,Low,Alleviate Pain,10,3,exercise.jpg,
E033,Side-to-Side Neck Rotation,Slowly rotate head side to side to improve flexibility,Neck,Low,Alleviate Pain,10,3,exercise.jpg,
E034,Shoulder Rolls,"Roll shoulders up, back, and down to reduce neck tension",Neck,Low,Alleviate Pain,10,3,exercise.jpg,
