Exercise_ID,Exercise,Exercise_Description,Muscle_Involved,Pain_Level,Functional_Goal,Repetition,Set,Image_Link,Video_Link
E001,Shoulder Blade Squeezes,"Sit or stand, squeeze shoulder blades together gently to engage deltoids",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E002,Arm Circles,Perform small arm circles to increase mobility and activate deltoids,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E003,Front Arm Raises (No Weight),"Stand with arms at sides, raise arms straight in front to shoulder height",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E004,Lateral Arm Raises (No Weight),Raise arms out to the side to shoulder height for gentle deltoid activation,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E005,Pendulum Swings,"Stand next to a table, place one hand for support, and gently swing the opposite arm in small circles",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E006,Wall Crawls,"Face a wall and use your fingers to ""crawl"" your arm up slowly as high as is comfortable, then crawl back down",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E007,Cross-Body Shoulder Stretch,Gently pull one arm across your body with the opposite hand,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E008,Seated Shoulder Rolls,Sit upright and slowly roll your shoulders forward then backward,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E009,Towel Stretch,Hold a towel behind your back with one hand overhead and the other behind your lower back; gently pull upward with the top hand to stretch,Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E010,Doorway Shoulder Stretch,"Stand in an open doorway, place your hands on the frame at shoulder height, and gently lean forward until you feel a stretch across your shoulders",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E011,Isometric Shoulder Abduction,"Stand with your side against a wall, press the back of your hand into the wall without moving your arm",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E012,Table Slides,"Sit at a table, place your hands on a towel, and gently slide them forward as far as comfortable, then return slowly",Deltoids,Low,Alleviate Pain,10,3,exercise.jpg,
E013,Wall Slides,"Stand with back against wall, slide arms up and down the wall while keeping shoulders relaxed",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E014,External Rotation with Resistance Band (Light),"Attach band to a fixed point, gently rotate forearm outward to engage deltoids",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E015,Dumbbell Front Raise (Light Weight),"Hold light weights, lift arms to shoulder height in front",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E016,Dumbbell Lateral Raise (Light Weight),"Hold light weights, raise arms to the side to shoulder height with controlled movement",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E017,Pendulum Circles with Slight Weight,"Hold a light object like a small water bottle, lean forward slightly, and gently move your arm in small circles.",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E018,Wall-Assisted Arm Raises,"Stand facing a wall with your fingers lightly touching it, and slowly walk your fingers up as high as tolerable, then walk them back down.",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E019,Isometric Shoulder External Rotation,"Stand next to a wall with your elbow bent at 90 degrees, press the back of your hand against the wall without moving your arm",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E020,Tabletop Forward Lean,"place both hands on it, and gently shift your hips backward while keeping your arms stretched forward, feeling a light pull in your shoulders",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E021,Cross-Body Arm Pull with Support,Support your elbow with your opposite hand while gently pulling the arm across your chest to stretch the back of the shoulder,Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E022,Assisted Overhead Stretch,"Using a cane or broomstick, gently lift your affected arm overhead with assistance from your good arm, moving slowly to avoid sharp pain",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E023,Seated External Rotation with Light Band,"Sit upright, hold a resistance band with both hands, keep elbows close to your sides, and gently rotate your hands outward",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E024,Shoulder Shrugs,"Stand straight, lift your shoulders toward your ears gently without jerking",Deltoids,Moderate,Alleviate Pain,10,3,exercise.jpg,
E025,None,,Deltoids,Severe,Alleviate Pain,10,3,exercise.jpg,
E026,Isometric Biceps Hold,"Bend elbows to 90 degrees, press hands against each other or a soft object to engage biceps without movement",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E027,Forearm Supination/Pronation,"Hold a light weight or resistance band, rotate forearm to engage biceps gently",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E028,Bicep Curls (No Weight or Light Weight),Hold hands at sides and bend elbows to bring hands toward shoulders,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E029,Hammer Curls (No Weight or Light Weight),Curl with palms facing inward to target different parts of the biceps,Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E030,Biceps Stretch on Wall,"Stand beside a wall, place your palm flat against it with your arm straight, and slowly rotate your body away until you feel a gentle stretch across your biceps",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
E031,Elbow Flexion and Extension,"Sit or stand comfortably, bend your elbow to bring your hand toward your shoulder, then slowly straighten your arm back down",Biceps,Low,Alleviate Pain,10,3,exercise.jpg,
